Id,int64
MSSubClass,int64
LotFrontage,float64
LotArea,int64
OverallQual,int64
OverallCond,int64
YearBuilt,int64
YearRemodAdd,int64
MasVnrArea,float64
BsmtFinSF1,float64
BsmtFinSF2,float64
BsmtUnfSF,float64
TotalBsmtSF,float64
1stFlrSF,int64
2ndFlrSF,int64
LowQualFinSF,int64
GrLivArea,int64
BsmtFullBath,float64
BsmtHalfBath,float64
FullBath,int64
HalfBath,int64
BedroomAbvGr,int64
KitchenAbvGr,int64
TotRmsAbvGrd,int64
Fireplaces,int64
GarageYrBlt,float64
GarageCars,float64
GarageArea,float64
WoodDeckSF,int64
OpenPorchSF,int64
EnclosedPorch,int64
3SsnPorch,int64
ScreenPorch,int64
PoolArea,int64
MiscVal,int64
MoSold,int64
YrSold,int64
