,Original Stats,Predicted
1,1035000.0,1046096.9538461538
2,1465000.0,1390000.0
4,1600000.0,918884.6153846154
6,1876000.0,1559833.3333333333
7,1636000.0,1046096.9538461538
9,1097000.0,1046096.9538461538
11,1350000.0,917126.5258215963
12,750000.0,666440.1149425288
15,1310000.0,1046096.9538461538
16,1200000.0,1262500.0
17,1176500.0,1304593.373493976
19,890000.0,651350.3397683398
20,1330000.0,2360848.484848485
23,500000.0,526830.3938053098
24,1100000.0,666440.1149425288
25,1315000.0,1046096.9538461538
27,1447500.0,961850.0
29,1135000.0,1447500.0
32,1290000.0,1447000.0
33,470000.0,383329.0268456376
34,1180000.0,1046096.9538461538
35,1195000.0,977451.6129032258
36,1012500.0,1046096.9538461538
37,1030000.0,1046096.9538461538
38,840000.0,1062500.0
39,730000.0,885400.0
40,770000.0,885400.0
41,603000.0,862883.3333333334
42,700000.0,917126.5258215963
43,600000.0,773139.3939393939
44,500000.0,536048.8505747126
47,725000.0,903000.0
48,450000.0,536048.8505747126
49,515000.0,536048.8505747126
50,530000.0,536048.8505747126
51,895000.0,687357.1428571428
52,805000.0,880200.0
53,752000.0,773139.3939393939
56,700000.0,917126.5258215963
57,830000.0,1196233.3333333333
60,675000.0,651350.3397683398
61,1042000.0,1034750.0
63,773000.0,1006500.0
64,810000.0,826000.0
65,715000.0,1172869.3181818181
67,540000.0,683070.3703703703
68,825000.0,885400.0
69,685000.0,612932.2033898305
77,900000.0,812342.625
78,1275000.0,1046096.9538461538
80,2850000.0,1980555.5555555555
81,1850000.0,1837157.894736842
82,1436000.0,1046096.9538461538
85,2300000.0,2152214.285714286
87,1800000.0,977451.6129032258
88,2120000.0,1046096.9538461538
90,1800000.0,1390000.0
92,2615000.0,2702500.0
95,1370000.0,1018370.0
98,1322500.0,1046096.9538461538
99,1562500.0,1046096.9538461538
100,2000000.0,2093625.0
102,3010000.0,1837157.894736842
103,2800000.0,2564375.0
105,2100000.0,1304593.373493976
106,2000000.0,1304593.373493976
107,442500.0,383329.0268456376
108,4735000.0,4735000.0
113,2140000.0,2152214.285714286
115,980000.0,1046096.9538461538
117,1740000.0,1837157.894736842
119,985000.0,653109.0909090909
120,2000000.0,2000000.0
123,1717500.0,1767425.9259259258
124,2840000.0,2840000.0
125,525500.0,526830.3938053098
126,805000.0,856044.4444444445
131,1830000.0,1457250.0
132,2100000.0,1824833.3333333333
133,865000.0,649775.0
134,390000.0,526830.3938053098
136,512000.0,526830.3938053098
138,1900000.0,1463800.0
140,1950000.0,1767425.9259259258
141,520000.0,850636.3636363636
142,1525000.0,1525000.0
143,720000.0,639414.6776859504
144,1120000.0,1242222.2222222222
146,1780000.0,2076428.5714285714
147,630000.0,800939.3939393939
149,660000.0,979202.8301886793
151,580000.0,651350.3397683398
152,1335000.0,985714.2857142857
154,510000.0,651350.3397683398
156,425000.0,639414.6776859504
159,391000.0,526830.3938053098
161,845000.0,1304954.5454545454
163,730000.0,977451.6129032258
166,447000.0,651350.3397683398
168,678000.0,979202.8301886793
169,580000.0,666440.1149425288
171,840000.0,979780.487804878
175,577000.0,683070.3703703703
179,857000.0,782046.6666666666
181,730000.0,977451.6129032258
185,535600.0,651350.3397683398
186,1085000.0,902900.0
187,781000.0,717969.4968553459
189,421000.0,526830.3938053098
191,683000.0,717969.4968553459
193,720000.0,977451.6129032258
194,588000.0,773139.3939393939
195,710000.0,717969.4968553459
196,875000.0,832279.7234042553
200,675000.0,917126.5258215963
201,708000.0,717969.4968553459
206,693000.0,970000.0
207,620000.0,917126.5258215963
208,728500.0,717969.4968553459
209,931000.0,973937.5
213,815000.0,979780.487804878
217,1200000.0,930750.0
220,292000.0,651350.3397683398
221,599000.0,526830.3938053098
223,995000.0,1172869.3181818181
224,1205000.0,1018370.0
225,1939000.0,1488727.2727272727
227,1870000.0,1304593.373493976
229,1918000.0,1172869.3181818181
231,2050000.0,2093625.0
236,735000.0,735000.0
240,1435000.0,1850857.142857143
241,280000.0,383329.0268456376
244,592500.0,526830.3938053098
245,1210000.0,1046096.9538461538
246,2801000.0,2700500.0
248,1800000.0,1544387.0967741935
249,2200000.0,1641000.0
251,5525000.0,5285500.0
256,440000.0,383329.0268456376
259,1300000.0,1304593.373493976
261,704000.0,526830.3938053098
262,620000.0,526830.3938053098
263,1900000.0,1304593.373493976
266,710000.0,552799.1733333333
268,598000.0,526830.3938053098
269,1285000.0,1049492.4528301887
271,520000.0,526830.3938053098
272,3625000.0,2360848.484848485
273,4200000.0,4200000.0
274,1101000.0,773139.3939393939
275,3512500.0,3512500.0
277,869000.0,1049492.4528301887
280,567000.0,383329.0268456376
284,940000.0,1049492.4528301887
285,467000.0,526830.3938053098
286,1380000.0,1048562.5
287,490000.0,651350.3397683398
288,1850000.0,1468750.0
290,971000.0,1048562.5
291,710000.0,1046096.9538461538
292,2425000.0,2417200.0
293,750000.0,1046096.9538461538
294,1053000.0,1046096.9538461538
295,1377000.0,1401000.0
296,970000.0,1304593.373493976
298,751000.0,1046096.9538461538
299,950000.0,1046096.9538461538
300,685000.0,639414.6776859504
301,1230000.0,717969.4968553459
304,770000.0,1046096.9538461538
306,890000.0,890833.3333333334
308,1440000.0,1401000.0
312,1000000.0,979780.487804878
313,1435000.0,1341684.2105263157
314,390000.0,383329.0268456376
315,1425000.0,1544387.0967741935
316,1340000.0,1043030.612244898
317,955000.0,1304593.373493976
318,1100000.0,1463800.0
320,432000.0,526830.3938053098
321,1640000.0,2175000.0
322,1430000.0,1520666.6666666667
323,610000.0,651350.3397683398
324,940000.0,826000.0
325,890000.0,1049492.4528301887
326,1180000.0,1709200.0
327,1480000.0,1773288.4615384615
331,865000.0,666440.1149425288
333,442000.0,526830.3938053098
335,1037500.0,1242222.2222222222
336,1050000.0,917126.5258215963
337,440000.0,526830.3938053098
339,1430000.0,1616272.7272727273
343,1130000.0,1362333.3333333333
344,1135000.0,1304593.373493976
345,950000.0,1302803.3846153845
347,390000.0,536048.8505747126
348,1345000.0,1156687.5
349,1381500.0,1544387.0967741935
350,940000.0,917126.5258215963
351,995000.0,683070.3703703703
353,786000.0,1234066.6666666667
354,705000.0,1046096.9538461538
355,760000.0,1046096.9538461538
357,1000000.0,917126.5258215963
362,1305000.0,1304593.373493976
365,1215000.0,1351250.0
366,545000.0,1046096.9538461538
367,1705000.0,1227450.0
370,2650000.0,2725000.0
371,1670000.0,1709200.0
373,2050000.0,2050000.0
376,1555000.0,1948785.7142857143
377,1100000.0,1355687.5
378,1337000.0,979202.8301886793
379,2950000.0,2950000.0
381,1518000.0,1544387.0967741935
382,1710000.0,1946500.0
383,1655000.0,1269277.7777777778
384,1550000.0,1470000.0
385,1662000.0,917126.5258215963
